month	day	year	Tmax
11	02	1986	59
11	03	1986	70
11	04	1986	57
11	05	1986	58
11	06	1986	44
11	07	1986	58
11	08	1986	54
11	09	1986	70
11	10	1986	77
11	11	1986	52
11	12	1986	45
11	13	1986	52
11	14	1986	42
11	15	1986	38
11	16	1986	42
11	17	1986	53
11	18	1986	59
11	19	1986	59
11	20	1986	44
11	21	1986	44
11	22	1986	49
11	23	1986	53
11	24	1986	55
11	25	1986	53
11	26	1986	52
11	27	1986	57
11	28	1986	57
11	29	1986	53
11	30	1986	60
12	01	1986	51
12	02	1986	56
12	03	1986	59
12	04	1986	60
12	05	1986	50
12	06	1986	42
12	07	1986	45
12	08	1986	52
12	09	1986	54
12	10	1986	59
12	11	1986	57
12	12	1986	37
12	13	1986	40
12	14	1986	35
12	15	1986	40
12	16	1986	54
12	17	1986	52
12	18	1986	51
12	19	1986	46
12	20	1986	47
12	21	1986	43
12	22	1986	43
12	23	1986	45
12	24	1986	46
12	25	1986	50
12	26	1986	52
12	27	1986	42
12	28	1986	42
12	29	1986	41
12	30	1986	42
12	31	1986	43
01	01	1987	46
01	02	1987	37
01	03	1987	44
01	04	1987	45
01	05	1987	43
01	06	1987	40
01	07	1987	45
01	08	1987	54
01	09	1987	44
01	10	1987	45
01	11	1987	41
01	12	1987	43
01	13	1987	46
01	14	1987	49
01	15	1987	63
01	16	1987	62
01	17	1987	48
01	18	1987	37
01	19	1987	37
01	20	1987	41
01	21	1987	41
01	22	1987	42
01	23	1987	30
01	24	1987	33
01	25	1987	30
01	26	1987	21
01	27	1987	25
01	28	1987	29
01	29	1987	33
01	30	1987	42
01	31	1987	43
02	01	1987	40
02	02	1987	42
02	03	1987	58
02	04	1987	54
02	05	1987	48
02	06	1987	44
02	07	1987	53
02	08	1987	51
02	09	1987	56
02	10	1987	36
02	11	1987	48
02	12	1987	48
02	13	1987	42
02	14	1987	44
02	15	1987	36
02	16	1987	30
02	17	1987	32
02	18	1987	42
02	19	1987	46
02	20	1987	45
02	21	1987	46
02	22	1987	48
02	23	1987	46
02	24	1987	46
02	25	1987	47
02	26	1987	44
02	27	1987	46
02	28	1987	38
